ShopName,URL_Shop,province,Category,Type,name,price,unit,standard
Kanchanapa,www.dgtfarm.com/Kanchanapa,กรุงเทพมหานคร,ข้าวและธัญพืช,ข้าวหอมมะลิ,ข้าวหอมมะลิ 105,40,กิโลกรัม,GAP
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผัก,กระเจี๊ยบเขียว,กระเจี๊ยบเขียว,40,กิโลกรัม,HALAL
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผลไม้,กล้วย,กล้วยทุกชนิด เกรด A,30,กิโลกรัม,Organic Thailand
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผัก,ต้นคะน้า,คะน้าอินทรีย์ ปลอดสารพิษ,15,กรัม,Organic Thailand
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผัก,ใบกระเพรา,ใบกระเพราขาว,10,กำ,Organic Thailand
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผัก,ผักเหลียง,ใบเหลียงอ่อนอ่อน,170,กิโลกรัม,Organic Thailand
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผัก,ผักบุ้งจีน,ผักบุ้ง,40,กิโลกรัม,HALAL
Khim Organic,www.dgtfarm.com/Prakong,ขอนแก่น,ผัก,มะระจีน,มะระจีนอินทรีย์คัดเกรดพิเศษ,100,กิโลกรัม,Organic Thailand
Kitti Mango,www.dgtfarm.com/KITTIMANGO,อุดรธานี,สินค้าแปรรูป,เห็ดทอดสมุนไพร,เห็ดทอดสมุนไพร In my mind by Patthanida,100,ชิ้น,GAP
KritFarm Organic,www.dgtfarm.com/KritFarm,ประจวบคีรีขันธ์,สินค้าแปรรูป,กะปิกุ้งเคย,กะปิเคย ออร์แกนิค ตราโอชะ,220,กระปุก,Organic
KritFarm Organic,www.dgtfarm.com/KritFarm,ประจวบคีรีขันธ์,ข้าวและธัญพืช,ข้าวก่ำลืมผัว,ข้าวเหนียวก่ำลืมผัว,110,กิโลกรัม,Organic
KritFarm Organic,www.dgtfarm.com/KritFarm,ประจวบคีรีขันธ์,สินค้าแปรรูป,น้ำผึ้งป่า,น้ำผึ้งป่า ตรา Bee Favour,350,กระปุก,
KritFarm Organic,www.dgtfarm.com/KritFarm,ประจวบคีรีขันธ์,ผลไม้,ส้มโอขาวใหญ่,ส้มโอขาวใหญ่ สวนถนอมจิต กล่องละ 2ผล,359,กล่อง,Organic
KunnaiMumuu,www.dgtfarm.com/kunnaimumuu0885603421,ชุมพร,ปศุสัตว์,เนื้อไก่,ไก่พื้นเมือง(ประดู่หางดำ),180,กิโลกรัม,GAP
Lamoon Farm,www.dgtfarm.com/LamoonFarm,ราชบุรี,ข้าวและธัญพืช,ข้าวหอมมะลิ,ข้าวหอมมะลิ105,40,กิโลกรัม,GAP (อยู่ระหว่างดำเนินการขอใบรับรองมาตรฐาน)
Liang Island,www.dgtfarm.com/LiangIsland,นครศรีธรรมราช,ข้าวและธัญพืช,ข้าวกล้องไรซ์เบอร์รี่อินทรีย์,ข้าวกล้องไรซ์เบอร์รีอินทรีย์,80,กิโลกรัม,organic thailand
Liang Island,www.dgtfarm.com/LiangIsland,นครศรีธรรมราช,ข้าวและธัญพืช,ข้าวกล้องอินทรีย์ หอมมะลิ,ข้าวกล้องหอมมะลิอินทรีย์,80,กิโลกรัม,organic thailand
Lit Hairon Farm,www.dgtfarm.com/LitHairon,เพชรบูรณ์,ผัก,ลูกน้ำเต้า,น้ำเต้าอินทรีย์,40,กิโลกรัม,SDGsPGS
Lit Hairon Farm,www.dgtfarm.com/LitHairon,เพชรบูรณ์,ผัก,ฟักทองบัตเตอร์นัท,ฟักทองบัตเตอร์นัท,80,กิโลกรัม,SDGsPGS
Lit Hairon Farm,www.dgtfarm.com/LitHairon,เพชรบูรณ์,ผัก,มะเขือเทศ,มะเขือเทศสวิทโกลว์,100,กิโลกรัม,SDGsPGS
Lit Hairon Farm,www.dgtfarm.com/LitHairon,เพชรบูรณ์,ผลไม้,มะม่วงน้ำดอกไม้สีทอง,มะม่วงน้ำดอกไม้สีทอง,350,กล่อง,SDGsPGS
M Melon Farm,www.dgtfarm.com/Mmelonfarm,ปทุมธานี,ผัก,คะน้าใบหยิก,เคลเขียว swap Green,50,แพ็ค,GAP
M Melon Farm,www.dgtfarm.com/Mmelonfarm,ปทุมธานี,ผลไม้,มะเขือเทศ,มะเขือเทศเชอรี่หวาน,50,กล่อง,GAP
Malee Melon,www.dgtfarm.com/MaleeMelon,สระแก้ว,ข้าวและธัญพืช,ข้าวกล้องหอมมะลิ,ข้าวกล้องหอมมะลิสุรินทร์,99,ถุง,GAP
Maneefarm,www.dgtfarm.com/maneefarm,ลำปาง,ผัก,เรดโอ้ค,เรคโอ๊ค,100,กิโลกรัม,Organic
Maneefarm,www.dgtfarm.com/maneefarm,ลำปาง,ผัก,เรดโอ้ค,เรคโอ๊ค,100,กิโลกรัม,Organic
MASA FARM,www.dgtfarm.com/MASAFARM,ตราด,ผัก,ดอกชมจันทร์,ดอกชมจันทร์ ปลอดสารพิษ,20,ถุง,GAP
Mayang Tong มะยางทอง,www.dgtfarm.com/Mayangtong,ศรีสะเกษ,ข้าวและธัญพืช,ข้าวไรซ์เบอร์รี่อินทรีย์,ข้าวไรซ์เบอร์รี่อินทรีย์,80,แพ็ค,Organic Thailand
Mayang Tong มะยางทอง,www.dgtfarm.com/Mayangtong,ศรีสะเกษ,ข้าวและธัญพืช,ข้าวเหนียว,ข้าวเหนียวเขี้ยวงู แพ็คละ 1 กก.,50,กิโลกรัม,Organic Thailand
Mayang Tong มะยางทอง,www.dgtfarm.com/Mayangtong,ศรีสะเกษ,ไข่,ไข่เป็ด,ไข่เค็มมันเยิ้มสมุนไพร(ใบเตย),65,แพ็ค,Organic Thailand
melon love,www.dgtfarm.com/tawansritong,ประจวบคีรีขันธ์,ข้าวและธัญพืช,เมล็ดพันธ์ข้าว,พันธุ์ข้าวกข 41,350,กระสอบ,GAP
MeMe farm By..Nokyak,www.dgtfarm.com/MeMeFarm,นครปฐม,ผัก,ขึ้นฉ่าย,ขึ้นฉ่าย,70,กิโลกรัม,กำลังขอใบรับรอง GAP
Microgreen,www.dgtfarm.com/veggiedojo,สงขลา,ข้าวและธัญพืช,ข้าวหอมมะลิ,ข้าว AA,100,ถุง,GAP
MIOGARDEN,www.dgtfarm.com/miogarden,นครราชสีมา,ผัก,แตงกวา,แตงกวา,20,แพ็ค,GAP
Mungkontongfarm,www.dgtfarm.com/Mungkontongfarm,สงขลา,สินค้าแปรรูป,น้ำพริก,น้ำพริกมะขาม รับรองจากมาตรฐาน ORGANIC THAILAND,120,กระปุก,GAP
Namkang Organic,www.dgtfarm.com/namkangorganic,อุดรธานี,สินค้าแปรรูป,ซอสน้ำพริกเผา,ซอสน้ำพริกเผา บรรจุขวด 150 มล.,65,ขวด,Organic Thailand
nisa,www.dgtfarm.com/nisa,ราชบุรี,ประมง,ปู,ปูดำ,500,กิโลกรัม,GAP
nisa,www.dgtfarm.com/nisa,ราชบุรี,ประมง,ปู,ปูดำ,500,กิโลกรัม,GAP
O.P.เอกอ้าย,www.dgtfarm.com/somporn81817,เพชรบูรณ์,ข้าวและธัญพืช,เมล็ดพันธ์ข้าว,กข41,360,กระสอบ,GAP
O.P.เอกอ้าย,www.dgtfarm.com/somporn81817,เพชรบูรณ์,ข้าวและธัญพืช,เมล็ดพันธ์ข้าว,กข43,450,กระสอบ,GAP
Organic Chiangmai,www.dgtfarm.com/organicfarmchiangmai,เชียงใหม่,สินค้าแปรรูป,ชาลิ้นจี่,ชาลิ้นจี่,390,กล่อง,IFOAM
Organic Chiangmai,www.dgtfarm.com/organicfarmchiangmai,เชียงใหม่,สินค้าแปรรูป,ลำไยอบแห้งสีทองเคลือบโยเกิร์ต,ลำไยอบแห้งเคลือบโยเกิร์ต,150,ชิ้น,IFOAM
organic moon,www.dgtfarm.com/organicmoon,แม่ฮ่องสอน,สินค้าแปรรูป,กาแฟโรบัสต้า,กาเเฟชนิดปรุงสำเร็จรูป 3in1 ตรา เเร่นอง คอฟฟี่,72,ถุง,Organic Thailand 
organic moon,www.dgtfarm.com/organicmoon,แม่ฮ่องสอน,สินค้าแปรรูป,กาแฟโรบัสต้า,กาแฟคั่วบด พันธุ์โรบัสต้า ยี่ห้อ 84 Ranong,150,ถุง,Organic Thailand 
organic moon,www.dgtfarm.com/organicmoon,แม่ฮ่องสอน,สินค้าแปรรูป,กาแฟคั่ว-คั่วบด ตราถ้ำสิงห์ โรบัสต้า 100%,กาแฟสดคั่วบด พันธุ์โรบัสต้า (Drip Coffee),150,กล่อง,Organic Thailand 
organic moon,www.dgtfarm.com/organicmoon,แม่ฮ่องสอน,สินค้าแปรรูป,เมล็ดกาแฟคั่ว พันธุ์โรบัสต้า,เมล็ดกาแฟคั่ว พันธุ์โรบัสต้า เกรดฟรีเมี่ยม ยี่ห้อ 84 Ranong,150,ถุง,Organic Thailand 
Organic-Khoyai,www.dgtfarm.com/organickhoyai,มหาสารคาม,ข้าวและธัญพืช,ข้าวหอมปทุม,ข้าวหอมปทุมธานี1,130,กิโลกรัม,GAP
Organics & Co.,www.dgtfarm.com/organics,นครปฐม,ผลไม้,กล้วยน้ำว้านวลเบอร์กลาง,กล้วยน้ำว้า,35,หวี,มาตรฐานเกษตรอินทรีย์ Organic Thailand มกษ. 9000
Organics & Co.,www.dgtfarm.com/organics,นครปฐม,สินค้าแปรรูป,น้ำมัลเบอร์รี่,ชาใบหม่อนผสมมะนาว,115,โหล,มาตรฐาน USDA Organic
Organics & Co.,www.dgtfarm.com/organics,นครปฐม,สินค้าแปรรูป,ภาชนะจากธรรมชาติ,ภาชนะจากใบไม้,1,ชิ้น,มาตรฐาน EU
Organics & Co.,www.dgtfarm.com/organics,นครปฐม,ผัก,มะนาวเบอร์ใหญ่,มะนาวแป้นพิจิตร,15,กิโลกรัม,มาตรฐาน EU
Organics & Co.,www.dgtfarm.com/organics,นครปฐม,สินค้าแปรรูป,น้ำมัลเบอร์รี่,มัลเบอร์รี่ปู่กะย่า,180,โหล,มาตรฐาน USDA Organic
Organics & Co.,www.dgtfarm.com/organics,นครปฐม,ผลไม้,มัลเบอร์รี,มัลเบอร์รี่ผลสด,100,กิโลกรัม,มาตรฐานเกษตรอินทรีย์ Organic Thailand มกษ. 9000
P & M Organic Farm,www.dgtfarm.com/pmfarm,อุบลราชธานี,ไข่,ไข่เป็ด,ไข่เค็ม มันเยิ้ม (6 ฟอง),65,แพ็ค,Organic Thailand 
panitanfarm,www.dgtfarm.com/panitanfarm,สุรินทร์,พืชสมุนไพร,ฟ้าทะลายโจร,ต้นกล้าฟ้าทะลายโจร,5,ตัน,GAP
panitanfarm,www.dgtfarm.com/panitanfarm,สุรินทร์,ผัก,ผักหวานป่า,เมล็ดผักหวานป่า,1,ลูก,GAP
panitanfarm,www.dgtfarm.com/panitanfarm,สุรินทร์,ผัก,ผักหวานป่า,เมล็ดผักหวานป่า,1,ลูก,GAP
Phahui,www.dgtfarm.com/Phahui,ลพบุรี,ข้าวและธัญพืช,ข้าวกล้องหอมมะลิ,ข้าวกล้องหอมมะลิ,50,แพ็ค,Organic Thailand
Phahui,www.dgtfarm.com/Phahui,ลพบุรี,ผัก,หน่อไม้ไผ่หวานไม่ปอกเปลือก,ไผ่บงหวาน,120,กิโลกรัม,Organic Thailand
Phahui,www.dgtfarm.com/Phahui,ลพบุรี,ผลไม้,มะละกอ,มะละกอ,10,กิโลกรัม,Organic Thailand
Phahui,www.dgtfarm.com/Phahui,ลพบุรี,สินค้าแปรรูป,น้ำอ้อยออร์แกนิค,้อ้อยคั้นน้ำ,100,ลิตร,Organic Thailand
Phetmarket,www.dgtfarm.com/PhetMarket,เพชรบุรี,ผัก,ต้นคะน้า,คะน้าอินทรีย์ ปลอดสารพิษ,15,กรัม,กำลังขอ
Phone Fame,www.dgtfarm.com/alinlada,กาฬสินธุ์,สินค้าแปรรูป,ปลาแปรรูป,แคปปลาสลิดทอดสลัดน้ำมัน บรรจุกระปุก 180 กรัม,120,กระปุก,GAP พืช
Phonhad Farm โพนฮาดฟาร์ม,www.dgtfarm.com/PhonhadFarm,ร้อยเอ็ด,ข้าวและธัญพืช,ข้าวกล้องมะลิ 105,ข้าวปลอดสารเกษตรอินทรีย์,50,กิโลกรัม,Organic
Phonhad Farm โพนฮาดฟาร์ม,www.dgtfarm.com/PhonhadFarm,ร้อยเอ็ด,ข้าวและธัญพืช,ข้าวหอมมะลิ,ข้าวอินทรีย์หอมมะลิ 1 กิโลกรัม,30,กิโลกรัม,Organic
Phonhad Farm โพนฮาดฟาร์ม,www.dgtfarm.com/PhonhadFarm,ร้อยเอ็ด,สินค้าแปรรูป,ข้าวชงอินทรีย์ไรซ์เบอรี่,เครื่องดื่มครีมผงข้าวหอมมะลิ,160,กระปุก,Organic
Phonhad Farm โพนฮาดฟาร์ม,www.dgtfarm.com/PhonhadFarm,ร้อยเอ็ด,สินค้าแปรรูป,ข้าวชงอินทรีย์ไรซ์เบอรี่,เครื่องดื่มครีมผงข้าวหอมมะลิ,160,กระปุก,Organic
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,ผลไม้,กล้วยน้ำว้า,กล้วยน้ำว้า,30,หวี,GAP
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,ข้าวและธัญพืช,ข้าวกล้องมะลิ 105,ข้าวกล้องขาวดอกมะลิ 105,60,กิโลกรัม,GAP
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,ผลไม้,ทุเรียนหมอนทอง,ทุเรียนหมอนทอง,280,กิโลกรัม,GAP
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,สินค้าแปรรูป,เยลลี่มะม่วง,มะม่วงเยลลี่กัมมี่ ขนาด 200 กรัม,100,ห่อ,GAP
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,สินค้าแปรรูป,เยลลี่มะม่วง,มะม่วงเยลลี่กัมมี่ ขนาด 500 กรัม,250,ห่อ,GAP
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,สินค้าแปรรูป,มะม่วงอบแห้ง,มะม่วงอบแห้งสูตรน้ำตาลน้อย ขนาด 200 กรัม,150,ห่อ,GAP
Pornpechfarm,www.dgtfarm.com/pechfarm,นครราชสีมา,สินค้าแปรรูป,มะม่วงอบแห้ง,มะม่วงอบแห้งสูตรน้ำตาลน้อย ขนาด 500 กรัม,350,ห่อ,GAP
